Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2017-11-29,37.75,38.025,37.23,37.48,36788586.0,0.0,1.0,36.11633753210384,36.3794366796887,35.61884096212519,35.85802200538416,36788586.0
2017-11-28,37.0,37.8,36.98,37.73,30966601.0,0.0,1.0,35.39879440232694,36.16417374075563,35.379659918866224,36.097203048643124,30966601.0
2017-11-27,36.51,37.09,36.5,36.87,20942222.0,0.0,1.0,34.92999955753937,35.48489957790017,34.92043231580901,35.274420259832276,20942222.0
2017-11-24,36.41,36.57,36.32,36.49,6155794.0,0.0,1.0,34.83432714023578,34.98740300792152,34.748221964662555,34.91086507407866,6155794.0
2017-11-22,36.7,36.715,36.36,36.45,17226399.0,0.0,1.0,35.11177715041619,35.12612801301172,34.78649093158399,34.87259610715722,17226399.0
2017-11-21,36.75,36.97,36.58,36.65,24146384.0,0.0,1.0,35.159613359067976,35.370092677135865,34.99697024965188,35.063940941764386,24146384.0
2017-11-20,35.93,36.54,35.93,36.5,26897844.0,0.0,1.0,34.37509953717857,34.958701282730445,34.37509953717857,34.92043231580901,26897844.0
2017-11-17,35.9,36.32,35.81,35.9,27987968.0,0.0,1.0,34.346397811987494,34.748221964662555,34.26029263641427,34.346397811987494,27987968.0
2017-11-16,36.04,36.67,35.83,35.88,61177066.0,0.0,1.0,34.48033919621251,35.08307542522511,34.27942711987498,34.327263328526776,61177066.0
2017-11-15,33.97,34.31,33.75,34.11,30829556.0,0.0,1.0,32.499920158028274,32.82520637686047,32.289440839960385,32.6338615422533,30829556.0
2017-11-14,33.86,34.16,33.8,34.04,17468535.0,0.0,1.0,32.39468049899433,32.68169775090509,32.33727704861218,32.56689085014079,17468535.0
2017-11-13,33.86,34.21,33.83,33.95,16441540.0,0.0,1.0,32.39468049899433,32.72953395955688,32.365978773803256,32.480785674567564,16441540.0
2017-11-10,34.06,34.09,33.67,33.99,19319360.0,0.0,1.0,32.586025333601505,32.61472705879258,32.21290290611752,32.519054641489,19319360.0
2017-11-09,34.29,34.32,33.871,34.05,16767411.0,0.0,1.0,32.80607189339975,32.83477361859083,32.40520446489773,32.576458091871146,16767411.0
2017-11-08,34.31,34.5,34.12,34.5,12506982.0,0.0,1.0,32.82520637686047,33.006983969737284,32.64342878398365,33.006983969737284,12506982.0
2017-11-07,34.32,34.48,34.2147,34.4,11332941.0,0.0,1.0,32.83477361859083,32.987849486276566,32.73403056317015,32.911311552433695,11332941.0
2017-11-06,34.37,34.56,34.26,34.41,12786917.0,0.0,1.0,32.88260982724262,33.06438742011944,32.77737016820868,32.920878794164054,12786917.0
2017-11-03,34.28,34.49,34.0269,34.47,13414354.0,0.0,1.0,32.796504651669395,32.997416728006925,32.554357763474016,32.97828224454621,13414354.0
2017-11-02,34.55,34.64,34.16,34.21,19827603.0,0.0,1.0,33.05482017838907,33.14092535396231,32.68169775090509,32.72953395955688,19827603.0
2017-11-01,34.29,34.75,34.28,34.62,22051255.0,0.0,1.0,32.80607189339975,33.24616501299625,32.796504651669395,33.121790870501584,22051255.0
